 1/36, Timesteps: 4096/150000, FPS: 64, Episodes: 160, Avg Reward (Last 100): 0.10, Avg Length (Last 100): 49.00
 2/36, Timesteps: 8192/150000, FPS: 65, Episodes: 320, Avg Reward (Last 100): 0.23, Avg Length (Last 100): 49.00
 3/36, Timesteps: 12288/150000, FPS: 65, Episodes: 480, Avg Reward (Last 100): 0.59, Avg Length (Last 100): 49.00
 4/36, Timesteps: 16384/150000, FPS: 65, Episodes: 640, Avg Reward (Last 100): 1.26, Avg Length (Last 100): 49.00
 5/36, Timesteps: 20480/150000, FPS: 65, Episodes: 800, Avg Reward (Last 100): 2.43, Avg Length (Last 100): 49.00
 6/36, Timesteps: 24576/150000, FPS: 65, Episodes: 960, Avg Reward (Last 100): 3.72, Avg Length (Last 100): 49.00
 7/36, Timesteps: 28672/150000, FPS: 65, Episodes: 1120, Avg Reward (Last 100): 4.98, Avg Length (Last 100): 49.00
 8/36, Timesteps: 32768/150000, FPS: 64, Episodes: 1280, Avg Reward (Last 100): 6.55, Avg Length (Last 100): 48.80
 9/36, Timesteps: 36864/150000, FPS: 64, Episodes: 1440, Avg Reward (Last 100): 6.89, Avg Length (Last 100): 48.76
 10/36, Timesteps: 40960/150000, FPS: 65, Episodes: 1600, Avg Reward (Last 100): 6.83, Avg Length (Last 100): 48.80
 11/36, Timesteps: 45056/150000, FPS: 65, Episodes: 1760, Avg Reward (Last 100): 7.96, Avg Length (Last 100): 48.90
 12/36, Timesteps: 49152/150000, FPS: 65, Episodes: 1920, Avg Reward (Last 100): 8.77, Avg Length (Last 100): 48.80
 13/36, Timesteps: 53248/150000, FPS: 66, Episodes: 2080, Avg Reward (Last 100): 8.26, Avg Length (Last 100): 48.28
 14/36, Timesteps: 57344/150000, FPS: 65, Episodes: 2240, Avg Reward (Last 100): 8.83, Avg Length (Last 100): 48.48
 15/36, Timesteps: 61440/150000, FPS: 65, Episodes: 2400, Avg Reward (Last 100): 8.97, Avg Length (Last 100): 47.12
 16/36, Timesteps: 65536/150000, FPS: 64, Episodes: 2560, Avg Reward (Last 100): 10.16, Avg Length (Last 100): 47.82
 17/36, Timesteps: 69632/150000, FPS: 64, Episodes: 2722, Avg Reward (Last 100): 9.40, Avg Length (Last 100): 46.27
 18/36, Timesteps: 73728/150000, FPS: 65, Episodes: 2882, Avg Reward (Last 100): 10.34, Avg Length (Last 100): 47.92
 19/36, Timesteps: 77824/150000, FPS: 65, Episodes: 3042, Avg Reward (Last 100): 9.79, Avg Length (Last 100): 48.26
 20/36, Timesteps: 81920/150000, FPS: 65, Episodes: 3202, Avg Reward (Last 100): 10.69, Avg Length (Last 100): 48.38
 21/36, Timesteps: 86016/150000, FPS: 65, Episodes: 3362, Avg Reward (Last 100): 10.10, Avg Length (Last 100): 47.10
 22/36, Timesteps: 90112/150000, FPS: 64, Episodes: 3522, Avg Reward (Last 100): 11.69, Avg Length (Last 100): 48.66
 23/36, Timesteps: 94208/150000, FPS: 64, Episodes: 3682, Avg Reward (Last 100): 10.65, Avg Length (Last 100): 48.62
 24/36, Timesteps: 98304/150000, FPS: 65, Episodes: 3842, Avg Reward (Last 100): 10.99, Avg Length (Last 100): 48.76
 25/36, Timesteps: 102400/150000, FPS: 65, Episodes: 4002, Avg Reward (Last 100): 11.01, Avg Length (Last 100): 48.70
 26/36, Timesteps: 106496/150000, FPS: 65, Episodes: 4162, Avg Reward (Last 100): 10.99, Avg Length (Last 100): 48.66
 27/36, Timesteps: 110592/150000, FPS: 65, Episodes: 4322, Avg Reward (Last 100): 10.95, Avg Length (Last 100): 48.40
 28/36, Timesteps: 114688/150000, FPS: 65, Episodes: 4482, Avg Reward (Last 100): 11.57, Avg Length (Last 100): 48.60
 29/36, Timesteps: 118784/150000, FPS: 64, Episodes: 4642, Avg Reward (Last 100): 12.45, Avg Length (Last 100): 48.60
 30/36, Timesteps: 122880/150000, FPS: 65, Episodes: 4802, Avg Reward (Last 100): 11.18, Avg Length (Last 100): 48.90
 31/36, Timesteps: 126976/150000, FPS: 65, Episodes: 4962, Avg Reward (Last 100): 12.07, Avg Length (Last 100): 48.92
 32/36, Timesteps: 131072/150000, FPS: 65, Episodes: 5122, Avg Reward (Last 100): 12.15, Avg Length (Last 100): 48.34
 33/36, Timesteps: 135168/150000, FPS: 65, Episodes: 5282, Avg Reward (Last 100): 12.66, Avg Length (Last 100): 48.52
 34/36, Timesteps: 139264/150000, FPS: 65, Episodes: 5442, Avg Reward (Last 100): 13.66, Avg Length (Last 100): 48.60
 35/36, Timesteps: 143360/150000, FPS: 65, Episodes: 5602, Avg Reward (Last 100): 13.03, Avg Length (Last 100): 46.96
 36/36, Timesteps: 147456/150000, FPS: 65, Episodes: 5762, Avg Reward (Last 100): 13.90, Avg Length (Last 100): 48.82
