Update: 1/36, Timesteps: 4096, FPS: 64, Episodes: 160, Avg Reward (Last 100): 15.55, Avg Length (Last 100): 49.26
Update: 2/36, Timesteps: 8192, FPS: 65, Episodes: 320, Avg Reward (Last 100): 14.87, Avg Length (Last 100): 49.74
Update: 3/36, Timesteps: 12288, FPS: 66, Episodes: 480, Avg Reward (Last 100): 17.07, Avg Length (Last 100): 49.54
Update: 4/36, Timesteps: 16384, FPS: 65, Episodes: 640, Avg Reward (Last 100): 15.70, Avg Length (Last 100): 48.18
Update: 5/36, Timesteps: 20480, FPS: 65, Episodes: 800, Avg Reward (Last 100): 15.88, Avg Length (Last 100): 49.44
Update: 6/36, Timesteps: 24576, FPS: 65, Episodes: 960, Avg Reward (Last 100): 15.61, Avg Length (Last 100): 49.16
Update: 7/36, Timesteps: 28672, FPS: 65, Episodes: 1120, Avg Reward (Last 100): 16.69, Avg Length (Last 100): 48.60
Update: 8/36, Timesteps: 32768, FPS: 65, Episodes: 1280, Avg Reward (Last 100): 16.00, Avg Length (Last 100): 49.30
Update: 9/36, Timesteps: 36864, FPS: 65, Episodes: 1440, Avg Reward (Last 100): 15.54, Avg Length (Last 100): 48.16
Update: 10/36, Timesteps: 40960, FPS: 65, Episodes: 1600, Avg Reward (Last 100): 16.60, Avg Length (Last 100): 48.58
Update: 11/36, Timesteps: 45056, FPS: 64, Episodes: 1762, Avg Reward (Last 100): 15.36, Avg Length (Last 100): 46.52
Update: 12/36, Timesteps: 49152, FPS: 66, Episodes: 1922, Avg Reward (Last 100): 15.09, Avg Length (Last 100): 47.18
Update: 13/36, Timesteps: 53248, FPS: 66, Episodes: 2082, Avg Reward (Last 100): 15.92, Avg Length (Last 100): 47.18
Update: 14/36, Timesteps: 57344, FPS: 65, Episodes: 2242, Avg Reward (Last 100): 19.05, Avg Length (Last 100): 48.60
Update: 15/36, Timesteps: 61440, FPS: 65, Episodes: 2402, Avg Reward (Last 100): 20.26, Avg Length (Last 100): 49.00
Update: 16/36, Timesteps: 65536, FPS: 65, Episodes: 2562, Avg Reward (Last 100): 18.98, Avg Length (Last 100): 48.84
Update: 17/36, Timesteps: 69632, FPS: 65, Episodes: 2722, Avg Reward (Last 100): 19.39, Avg Length (Last 100): 48.00
Update: 18/36, Timesteps: 73728, FPS: 65, Episodes: 2882, Avg Reward (Last 100): 19.25, Avg Length (Last 100): 48.74
Update: 19/36, Timesteps: 77824, FPS: 65, Episodes: 3042, Avg Reward (Last 100): 20.11, Avg Length (Last 100): 49.02
Update: 20/36, Timesteps: 81920, FPS: 65, Episodes: 3202, Avg Reward (Last 100): 21.74, Avg Length (Last 100): 49.84
Update: 21/36, Timesteps: 86016, FPS: 65, Episodes: 3362, Avg Reward (Last 100): 19.25, Avg Length (Last 100): 49.52
Update: 22/36, Timesteps: 90112, FPS: 65, Episodes: 3522, Avg Reward (Last 100): 20.19, Avg Length (Last 100): 49.72
Update: 23/36, Timesteps: 94208, FPS: 65, Episodes: 3682, Avg Reward (Last 100): 20.83, Avg Length (Last 100): 50.00
Update: 24/36, Timesteps: 98304, FPS: 65, Episodes: 3842, Avg Reward (Last 100): 18.15, Avg Length (Last 100): 49.92
Update: 25/36, Timesteps: 102400, FPS: 65, Episodes: 4002, Avg Reward (Last 100): 17.48, Avg Length (Last 100): 49.32
Update: 26/36, Timesteps: 106496, FPS: 66, Episodes: 4162, Avg Reward (Last 100): 16.69, Avg Length (Last 100): 49.78
Update: 27/36, Timesteps: 110592, FPS: 65, Episodes: 4322, Avg Reward (Last 100): 17.21, Avg Length (Last 100): 49.70
Update: 28/36, Timesteps: 114688, FPS: 65, Episodes: 4482, Avg Reward (Last 100): 18.24, Avg Length (Last 100): 49.16
Update: 29/36, Timesteps: 118784, FPS: 65, Episodes: 4642, Avg Reward (Last 100): 19.05, Avg Length (Last 100): 49.28
Update: 30/36, Timesteps: 122880, FPS: 65, Episodes: 4802, Avg Reward (Last 100): 17.02, Avg Length (Last 100): 49.30
Update: 31/36, Timesteps: 126976, FPS: 66, Episodes: 4962, Avg Reward (Last 100): 16.46, Avg Length (Last 100): 49.52
Update: 32/36, Timesteps: 131072, FPS: 66, Episodes: 5122, Avg Reward (Last 100): 17.50, Avg Length (Last 100): 49.50
Update: 33/36, Timesteps: 135168, FPS: 65, Episodes: 5282, Avg Reward (Last 100): 16.41, Avg Length (Last 100): 48.60
Update: 34/36, Timesteps: 139264, FPS: 65, Episodes: 5442, Avg Reward (Last 100): 17.86, Avg Length (Last 100): 49.24
Update: 35/36, Timesteps: 143360, FPS: 65, Episodes: 5602, Avg Reward (Last 100): 17.98, Avg Length (Last 100): 49.06
Update: 36/36, Timesteps: 147456, FPS: 65, Episodes: 5762, Avg Reward (Last 100): 17.48, Avg Length (Last 100): 49.70
