 1/36,  4096, FPS: 64, Episodes: 160,   0.11, Avg Length  49.00
 2/36,  8192, FPS: 66, Episodes: 320,   0.26, Avg Length  49.00
 3/36,  12288, FPS: 65, Episodes: 480,   0.56, Avg Length  49.00
 4/36,  16384, FPS: 65, Episodes: 640,   0.94, Avg Length  49.00
 5/36,  20480, FPS: 66, Episodes: 800,   2.87, Avg Length  49.00
 6/36,  24576, FPS: 66, Episodes: 960,   4.70, Avg Length  49.00
 7/36,  28672, FPS: 65, Episodes: 1120,   4.98, Avg Length  49.00
 8/36,  32768, FPS: 66, Episodes: 1280,   6.00, Avg Length  49.00
 9/36,  36864, FPS: 65, Episodes: 1440,   4.84, Avg Length  49.00
 10/36,  40960, FPS: 65, Episodes: 1600,   5.93, Avg Length  49.00
 11/36,  45056, FPS: 66, Episodes: 1760,   6.39, Avg Length  49.00
 12/36,  49152, FPS: 66, Episodes: 1920,   7.03, Avg Length  49.00
 13/36,  53248, FPS: 66, Episodes: 2080,   7.80, Avg Length  48.86
 14/36,  57344, FPS: 66, Episodes: 2240,   8.06, Avg Length  48.82
 15/36,  61440, FPS: 65, Episodes: 2400,   8.78, Avg Length  49.00
 16/36,  65536, FPS: 65, Episodes: 2560,   8.74, Avg Length  48.92
 17/36,  69632, FPS: 66, Episodes: 2720,   8.57, Avg Length  48.78
 18/36,  73728, FPS: 65, Episodes: 2880,   9.34, Avg Length  48.94
 19/36,  77824, FPS: 65, Episodes: 3040,   9.60, Avg Length  48.96
 20/36,  81920, FPS: 65, Episodes: 3200,   9.94, Avg Length  48.82
 21/36,  86016, FPS: 66, Episodes: 3360,   9.67, Avg Length  48.86
 22/36,  90112, FPS: 65, Episodes: 3520,   9.75, Avg Length  48.92
 23/36,  94208, FPS: 65, Episodes: 3680,   9.67, Avg Length  48.26
 24/36,  98304, FPS: 65, Episodes: 3840,   9.71, Avg Length  48.08
 25/36,  102400, FPS: 65, Episodes: 4000,   10.44, Avg Length  48.08
 26/36,  106496, FPS: 65, Episodes: 4160,   11.04, Avg Length  48.04
 27/36,  110592, FPS: 65, Episodes: 4320,   11.97, Avg Length  48.02
 28/36,  114688, FPS: 65, Episodes: 4480,   12.37, Avg Length  48.20
 29/36,  118784, FPS: 66, Episodes: 4640,   12.19, Avg Length  48.42
 30/36,  122880, FPS: 66, Episodes: 4800,   12.23, Avg Length  48.20
 31/36,  126976, FPS: 65, Episodes: 4960,   12.11, Avg Length  48.42
 32/36,  131072, FPS: 65, Episodes: 5120,   11.80, Avg Length  48.84
 33/36,  135168, FPS: 66, Episodes: 5280,   12.38, Avg Length  48.84
 34/36,  139264, FPS: 66, Episodes: 5440,   12.40, Avg Length  48.72
 35/36,  143360, FPS: 65, Episodes: 5600,   12.44, Avg Length  49.00
 36/36,  147456, FPS: 65, Episodes: 5760,   12.60, Avg Length  49.00
